day,organic_n_pool,mineral_n,net_release
0, 1795.500000,   22.924999,    2.925000
10, 1791.011230,   25.842686,    2.917687
20, 1786.533691,   28.753078,    2.910393
30, 1782.067383,   31.656197,    2.903117
40, 1777.612183,   34.552055,    2.895859
50, 1773.168213,   37.440674,    2.888620
60, 1768.735352,   40.322071,    2.881398
70, 1764.313477,   43.196266,    2.874195
80, 1759.902710,   46.063274,    2.867009
90, 1755.502930,   48.923115,    2.859842
100, 1751.114136,   51.775806,    2.852692
110, 1746.736328,   54.621368,    2.845560
120, 1742.369507,   57.459816,    2.838446
130, 1738.013550,   60.291168,    2.831350
140, 1733.668457,   63.115440,    2.824272
150, 1729.334229,   65.932648,    2.817211
160, 1725.010864,   68.742813,    2.810168
170, 1720.698364,   71.545959,    2.803143
180, 1716.396606,   74.342094,    2.796135
